timestamp,reqNum,,,,
1543763195,19,,,,10879
1543763196,30,,,,10880
1543763197,11,,,,10881
1543763198,156,,,,10882
1543763199,262,,,,10883
1543763200,145,,,,10884
1543763201,107,,,,10885
1543763202,83,,,,10886
1543763203,118,,,,10887
1543763204,144,,,,10888
1543763205,3,,,,10889
1543763206,57,,,,10890
1543763207,140,,,,10891
1543763208,161,,,,10892
1543763209,29,,,,10893
1543763210,44,,,,10894
1543763211,54,,,,10895
1543763212,8,,,,10896
1543763213,31,,,,10897
1543763214,4,,,,10898
1543763215,101,,,,10899
1543763216,20,,,,10900
1543763217,11,,,,10901
1543763218,97,,,,10902
1543763219,50,,,,10903
1543763220,3,,,,10904
1543763221,101,,,,10905
1543763222,14,,,,10906
1543763223,56,,,,10907
1543763224,70,,,,10908
1543763225,32,,,,10909
1543763226,151,,,,10910
1543763227,22,,,,10911
1543763228,55,,,,10912
1543763229,139,,,,10913
1543763230,40,,,,10914
1543763231,54,,,,10915
1543763232,6,,,,10916
1543763233,44,,,,10917
1543763234,73,,,,10918
1543763235,1,,,,10919
1543763236,72,,,,10920
1543763237,134,,,,10921
1543763238,13,,,,10922
1543763239,151,,,,10923
1543763240,55,,,,10924
1543763241,100,,,,10925
1543763242,2,,,,10926
1543763243,44,,,,10927
1543763244,20,,,,10928
1543763246,15,,,,10930
1543763247,58,,,,10931
1543763248,97,,,,10932
1543763249,51,,,,10933
1543763250,6,,,,10934
1543763251,58,,,,10935
1543763252,83,,,,10936
1543763253,162,,,,10937
1543763254,18,,,,10938
1543763255,62,,,,10939
1543763256,112,,,,10940
1543763257,152,,,,10941
1543763258,29,,,,10942
1543763259,83,,,,10943
1543763260,25,,,,10944
1543763261,12,,,,10945
1543763262,31,,,,10946
1543763263,82,,,,10947
1543763264,42,,,,10948
1543763265,113,,,,10949
1543763266,19,,,,10950
1543763267,27,,,,10951
1543763268,33,,,,10952
1543763269,47,,,,10953
1543763270,17,,,,10954
1543763271,41,,,,10955
1543763272,31,,,,10956
1543763273,28,,,,10957
1543763274,66,,,,10958
1543763275,7,,,,10959
1543763276,73,,,,10960
1543763278,70,,,,10962
1543763279,9,,,,10963
1543763280,135,,,,10964
1543763281,22,,,,10965
1543763282,97,,,,10966
1543763283,6,,,,10967
1543763284,76,,,,10968
1543763285,196,,,,10969
1543763286,21,,,,10970
1543763287,6,,,,10971
1543763288,50,,,,10972
1543763289,46,,,,10973
1543763290,20,,,,10974
1543763291,39,,,,10975
1543763292,39,,,,10976
1543763293,5,,,,10977
1543763294,139,,,,10978
1543763295,30,,,,10979
1543763296,47,,,,10980
1543763297,5,,,,10981
1543763298,185,,,,10982
1543763299,36,,,,10983
1543763300,46,,,,10984
1543763301,41,,,,10985
1543763302,33,,,,10986
1543763303,54,,,,10987
1543763304,2,,,,10988
1543763305,119,,,,10989
1543763307,36,,,,10991
1543763308,56,,,,10992
1543763309,59,,,,10993
1543763310,34,,,,10994
1543763311,26,,,,10995
1543763312,149,,,,10996
1543763313,74,,,,10997
1543763314,18,,,,10998
1543763315,161,,,,10999
1543763316,108,,,,11000
1543763317,82,,,,11001
1543763318,7,,,,11002
1543763319,125,,,,11003
1543763320,30,,,,11004
1543763321,85,,,,11005
1543763323,7,,,,11007
1543763324,153,,,,11008
1543763325,5,,,,11009
1543763326,181,,,,11010
1543763327,178,,,,11011
1543763328,12,,,,11012
1543763329,29,,,,11013
1543763330,4,,,,11014
1543763331,186,,,,11015
1543763332,265,,,,11016
1543763333,55,,,,11017
1543763334,122,,,,11018
1543763335,31,,,,11019
1543763336,103,,,,11020
1543763337,3,,,,11021
1543763338,151,,,,11022
1543763339,11,,,,11023
1543763340,47,,,,11024
1543763341,34,,,,11025
1543763342,73,,,,11026
1543763343,22,,,,11027
1543763344,43,,,,11028
1543763345,34,,,,11029
1543763346,62,,,,11030
1543763347,9,,,,11031
1543763348,65,,,,11032
1543763349,8,,,,11033
1543763350,44,,,,11034
1543763351,146,,,,11035
1543763352,17,,,,11036
1543763353,78,,,,11037
1543763354,69,,,,11038
1543763355,14,,,,11039
1543763356,30,,,,11040
1543763357,59,,,,11041
1543763358,7,,,,11042
